word,joy_score
Olympics,0.4536266597988053
Switzerland,0.4535494651127287
responded,0.45340911686306523
capitalism,0.4532757928851279
welfare,0.4531915917196522
blocked,0.45305126239797405
Greece,0.4528828770632393
laughed,0.4526092739083607
officials,0.4525952437478449
winners,0.4524759904270369
Democratic,0.4523146563855142
prisoners,0.4520831946188412
Outlook,0.45190785858827087
passengers,0.4516203333601584
seized,0.4513118056323413
viagra,0.451283759509483
toast,0.45111548927774664
outlook,0.45077898239019015
leisure,0.45071589235159976
oil,0.45005003897776064
sand,0.4496856474829956
recipients,0.4493423279709087
prosperity,0.44898504667287925
tourism,0.44847373571402455
Russians,0.4479975440002799
Americans,0.44657654223163423
Cuba,0.4463036410984499
unemployment,0.4461986877324075
Republican,0.44552710015733704
Germans,0.44529628773411223
Hillary,0.4443872571518739
Swiss,0.4439328810245953
GOP,0.44356245908338665
prison,0.44339474145976276
airlines,0.4431501763969693
Democrats,0.4425982595823069
workforce,0.44199759989632925
emerged,0.44165543932180795
workers,0.44134824028308
economy,0.4411178704516234
Obama,0.440852627506023
drew,0.44024548811905756
airline,0.4387807189907618
deficit,0.43823693207272124
Clinton,0.43643931595264607
Republicans,0.43488690521338114
Trump,0.42817722306904543
TSA,0.42472832403782707
Romney,0.42472832403782707
Libya,0.4243893645463889
