word,Joy_Score
Olympics,0.4995329373178342
Switzerland,0.49953215532597617
responded,0.4995307335226037
capitalism,0.4995293828094069
welfare,0.4995285297273913
blocked,0.4995271079240383
Greece,0.4995254017600247
laughed,0.49952262924352625
officials,0.49952248706319385
winners,0.4995212785303709
Democratic,0.49951964345656075
prisoners,0.49951729748111184
Outlook,0.499515520226998
passengers,0.4995126055302779
seized,0.49950947756310304
viagra,0.4995091932024526
toast,0.4995074870385571
outlook,0.49950407471080044
leisure,0.49950343489935123
oil,0.4994966813341532
sand,0.49949298464591196
recipients,0.499489501228197
prosperity,0.4994858756302196
tourism,0.4994806860488953
Russians,0.4994758519184473
Americans,0.49946142061784315
Cuba,0.4994586481020654
unemployment,0.4994575817498522
Republican,0.4994507570958043
Germans,0.4994484111210225
Hillary,0.4994391694024222
Swiss,0.4994345485432655
GOP,0.4994307807658706
prison,0.4994290746025434
airlines,0.4994265864477147
Democrats,0.4994209703269205
workforce,0.499414856575336
emerged,0.4994113731588137
workers,0.4994082451930056
economy,0.49940589921867995
Obama,0.49940319779373127
drew,0.49939701295253275
airline,0.4993820840262659
deficit,0.49937653899678874
Clinton,0.49935819774654167
Republicans,0.4993423446517875
Trump,0.4992736716202358
TSA,0.4992382687635797
Romney,0.4992382687635797
Libya,0.49923478535037996
